lam,doc_idx,layer,entropy_norm,retention,q_len_orig
0.1,3,19,0.9390883445739746,0.40609116554260255,128
0.1,3,20,0.3166334629058838,0.46833665370941163,128
0.1,3,21,0.8741716146469116,0.41258283853530886,128
0.1,3,22,0.9585594534873962,0.4041440546512604,128
0.1,3,23,0.9962021112442017,0.40037978887557985,128
0.1,3,24,0.9416900277137756,0.4058309972286225,128
0.1,3,25,0.9523476362228394,0.4047652363777161,128
0.1,3,26,0.967369556427002,0.4032630443572998,128
0.1,3,27,0.15565817058086395,0.48443418294191365,128
0.1,3,28,0.9786021113395691,0.4021397888660431,128
0.1,3,29,0.0018748665461316705,0.49981251334538684,128
0.1,3,30,0.9850082993507385,0.4014991700649262,128
0.2,0,15,0.8933614492416382,0.42132771015167236,128
0.2,0,16,0.9975830912590027,0.4004833817481995,128
0.2,0,17,0.9225841164588928,0.41548317670822144,128
0.2,0,18,0.9700684547424316,0.40598630905151367,128
0.2,0,19,0.9434857964515686,0.4113028407096863,128
0.2,0,20,0.19531603157520294,0.5609367936849594,128
0.2,0,21,0.9121918678283691,0.4175616264343262,128
0.2,0,22,0.9660239219665527,0.40679521560668946,128
0.2,0,23,0.9967045187950134,0.4006590962409973,128
0.2,0,24,0.9641880989074707,0.40716238021850587,128
0.2,0,25,0.9272380471229553,0.41455239057540894,128
0.2,0,26,0.9829909205436707,0.4034018158912659,128
0.2,0,27,0.18911029398441315,0.5621779412031174,128
0.2,0,28,0.9884933829307556,0.4023013234138489,128
0.2,0,29,0.25980526208877563,0.5480389475822449,128
0.2,0,30,0.9773070216178894,0.40453859567642214,128
0.2,1,15,0.7070489525794983,0.45859020948410034,128
0.2,1,16,0.9977073073387146,0.4004585385322571,128
0.2,1,17,0.892728328704834,0.4214543342590332,128
0.2,1,18,0.9694709181785583,0.40610581636428833,128
0.2,1,19,0.906680166721344,0.41866396665573125,128
0.2,1,20,0.3956204056739807,0.5208759188652039,128
0.2,1,21,0.8742510080337524,0.4251497983932495,128
0.2,1,22,0.9685137271881104,0.406297254562378,128
0.2,1,23,0.9950339198112488,0.4009932160377503,128
0.2,1,24,0.9043828845024109,0.41912342309951783,128
0.2,1,25,0.8717660903930664,0.4256467819213867,128
0.2,1,26,0.9832358360290527,0.4033528327941895,128
0.2,1,27,0.0732632726430893,0.5853473454713822,128
0.2,1,28,0.9810073971748352,0.40379852056503296,128
0.2,1,29,0.2846944332122803,0.543061113357544,128
0.2,1,30,0.9758531451225281,0.40482937097549443,128
0.2,2,15,0.7836387157440186,0.4432722568511963,128
0.2,2,16,0.99776291847229,0.40044741630554204,128
0.2,2,17,0.9139553308486938,0.41720893383026125,128
0.2,2,18,0.9737794995307922,0.4052441000938416,128
0.2,2,19,0.9373927116394043,0.4125214576721192,128
0.2,2,20,0.22036677598953247,0.5559266448020935,128
0.2,2,21,0.904782235622406,0.4190435528755188,128
0.2,2,22,0.9637778997421265,0.40724442005157474,128
0.2,2,23,0.9969508051872253,0.400609838962555,128
0.2,2,24,0.9722706079483032,0.4055458784103394,128
0.2,2,25,0.9548189043998718,0.40903621912002563,128
0.2,2,26,0.9845352172851562,0.4030929565429688,128
0.2,2,27,0.16439290344715118,0.5671214193105698,128
0.2,2,28,0.9920362234115601,0.401592755317688,128
0.2,2,29,0.13154484331607819,0.5736910313367845,128
0.2,2,30,0.9811020493507385,0.4037795901298523,128
0.2,3,15,0.8501011729240417,0.4299797654151917,128
0.2,3,16,0.9979959726333618,0.4004008054733277,128
0.2,3,17,0.9066188335418701,0.418676233291626,128
0.2,3,18,0.9663172364234924,0.4067365527153015,128
0.2,3,19,0.9394462704658508,0.41211074590682983,128
0.2,3,20,0.32437723875045776,0.5351245522499085,128
0.2,3,21,0.8750374913215637,0.42499250173568726,128
0.2,3,22,0.9570469856262207,0.4085906028747559,128
0.2,3,23,0.9967020750045776,0.4006595849990845,128
0.2,3,24,0.9400991201400757,0.4119801759719849,128
0.2,3,25,0.9527648091316223,0.40944703817367556,128
0.2,3,26,0.9679211378097534,0.4064157724380493,128
0.2,3,27,0.10835354030132294,0.5783292919397355,128
0.2,3,28,0.9789295792579651,0.404214084148407,128
0.2,3,29,0.0007923314697109163,0.5998415337060579,128
0.2,3,30,0.9842813014984131,0.4031437397003174,128
